Customer_ID,First_Name,Last_Name,Gender,Date_of_Birth,Country_Region,Account_Created_Date
CUST10000,Harry,Roberts,Male,1976-12-13,England,29/11/2024
CUST10001,Joseph,Davies,Female,1986-07-10,England,12/12/2022
CUST10002,Jack,Williams,Female,1971-02-17,England,08/11/2023
CUST10003,Karen,Evans,Female,1976-08-12,England,12/08/2023
CUST10004,Michael,Robinson,Male,2001-04-25,Scotland,07/08/2021
CUST10005,Olivia,White,Male,1961-08-06,England,25/11/2024
CUST10006,Richard,Evans,Male,1976-05-02,England,06/05/2022
CUST10007,David,Wright,Female,1976-01-12,England,16/09/2024
CUST10008,Michael,White,Female,2001-08-26,England,05/05/2024
CUST10009,Isla,Jones,Female,1986-02-02,England,11/02/2024
CUST10010,Harry,Roberts,Female,1991-04-22,England,19/05/2023
CUST10011,Oliver,Taylor,Male,1966-08-01,England,09/07/2024
CUST10012,Olivia,Johnson,Female,1981-11-16,England,15/01/2024
CUST10013,Elizabeth,Taylor,Female,1971-04-13,England,23/06/2023
CUST10014,Robert,Smith,Male,1986-04-05,England,29/01/2024
CUST10015,Karen,Wright,Male,1996-04-21,England,11/05/2022
CUST10016,Emily,Williams,Female,1986-07-05,England,19/09/2023
CUST10017,Oliver,Taylor,Male,2006-03-12,Scotland,19/05/2022
CUST10018,Olivia,Evans,Male,1971-07-16,England,19/09/2021
CUST10019,Mary,Robinson,Female,1981-10-14,England,18/03/2023
CUST10020,Sarah,White,Male,1976-01-01,England,17/09/2021
CUST10021,George,Smith,Male,1991-12-13,Wales,15/01/2022
CUST10022,Joseph,Smith,Female,1961-07-18,England,25/09/2021
CUST10023,Emily,Jones,Female,1966-08-15,England,06/08/2024
CUST10024,James,Roberts,Male,1976-08-20,England,04/02/2023
CUST10025,Sarah,Evans,Female,1996-12-21,England,16/07/2022
CUST10026,Charles,Taylor,Female,1986-08-05,England,24/08/2023
CUST10027,Mary,Thompson,Female,2006-11-22,England,07/06/2024
CUST10028,Karen,Robinson,Male,2001-04-25,England,30/11/2023
CUST10029,Amelia,Johnson,Male,1981-03-23,England,18/01/2024
CUST10030,Jessica,Smith,Male,1976-08-23,Scotland,13/11/2024
CUST10031,Jennifer,White,Male,1961-02-06,England,24/03/2024
CUST10032,Jennifer,Walker,Male,1991-02-18,England,02/12/2022
CUST10033,Jessica,Johnson,Male,1991-03-13,England,13/11/2023
CUST10034,George,White,Female,1986-04-27,Northern Ireland,29/01/2025
CUST10035,Emily,Smith,Male,1996-02-23,England,08/05/2023
CUST10036,Mary,Smith,Male,2001-09-05,Wales,01/04/2022
CUST10037,Mary,White,Male,1986-07-26,England,17/06/2024
CUST10038,Richard,Smith,Male,1996-03-19,England,09/08/2023
CUST10039,Jessica,White,Male,1981-04-15,England,23/09/2024
CUST10040,Charles,Smith,Male,1986-12-13,England,28/01/2023
CUST10041,John,Robinson,Female,1971-11-14,Scotland,12/04/2023
CUST10042,Joseph,White,Female,1976-02-21,England,14/11/2022
CUST10043,Noah,Wilson,Female,1991-08-21,England,17/04/2024
CUST10044,Mary,Brown,Female,1971-04-15,England,08/06/2022
CUST10045,Olivia,Evans,Female,1971-05-27,England,25/09/2022
CUST10046,Robert,Johnson,Female,1991-08-07,England,10/05/2023
CUST10047,Robert,Evans,Female,1996-12-12,England,27/12/2022
CUST10048,Jack,Williams,Male,1981-07-17,England,10/01/2022
CUST10049,Jessica,Walker,Female,2001-12-05,England,25/07/2023
CUST10050,Susan,Taylor,Female,1996-10-14,England,30/09/2021
CUST10051,James,White,Female,2006-10-23,England,21/12/2023
CUST10052,Linda,Smith,Female,1976-10-19,England,16/12/2022
CUST10053,Charles,Wright,Male,1981-10-20,England,28/09/2023
CUST10054,Susan,Jones,Male,1976-04-05,England,07/04/2023
CUST10055,Mary,Smith,Male,1976-12-04,England,21/11/2021
CUST10056,Olivia,Walker,Female,1986-12-12,England,02/02/2023
CUST10057,Mary,Wright,Male,1986-08-09,England,24/10/2021
CUST10058,Patricia,Walker,Female,2001-09-01,Scotland,26/01/2023
